Tbl No,Tbl Type,Run Lngth (ft),Base UPC,Pct Sales (%),Sales Score
1,Slanted,14,1111018195,7.2,4
1,Slanted,14,4134,16.12,5
1,Slanted,14,1111091188,36.29,5
1,Slanted,14,1111091189,28.1,5
1,Slanted,14,3283,29.48,5
1,Slanted,14,94017,0.65,2
1,Slanted,14,94134,0.3,1
1,Slanted,14,94131,1.76,3
1,Slanted,14,4417,0.65,2
1,Slanted,14,4416,0.96,2
1,Slanted,14,4413,0.49,1
1,Slanted,14,1111090032,0.53,1
1,Slanted,14,1111060551,0.76,1
1,Slanted,14,1111018175,4.07,3
1,Slanted,14,1111018177,5.1,4
1,Slanted,14,1111018174,8.07,4
1,Slanted,14,7224054678,6.89,4
1,Slanted,14,93283,2.27,3
1,Slanted,14,4409,5.55,4
1,Slanted,14,4139,4.52,4
1,Slanted,14,4015,2.68,3
1,Slanted,14,4132,4.14,4
1,Slanted,14,4016,3.64,3
1,Slanted,14,4131,8.1,4
1,Slanted,14,4017,6.59,4
1,Slanted,14,4130,3.89,4
1,Slanted,14,3507,5.66,4
1,Slanted,14,3616,2.54,3
2,Slanted,14,1111018180,9.86,5
2,Slanted,14,1111091193,6.44,4
2,Slanted,14,75166677155,8.76,4
2,Slanted,14,1111091687,9.57,4
2,Slanted,14,4664,5.52,4
2,Slanted,14,1111091688,8.76,4
2,Slanted,14,4800,10.37,5
2,Slanted,14,4225,13.2,5
2,Slanted,14,4046,20.65,5
2,Slanted,14,1111091686,27.78,5
2,Slanted,14,4087,27.72,5
2,Slanted,14,3423,0.53,2
2,Slanted,14,94612,0.97,3
2,Slanted,14,1111002882,0.31,1
2,Slanted,14,94799,0.95,2
2,Slanted,14,1111018209,0.6,2
2,Slanted,14,1111022302,0.96,1
2,Slanted,14,1111022301,0.86,1
2,Slanted,14,75166610305,1.47,2
2,Slanted,14,75166648005,0.36,1
2,Slanted,14,81757802123,0.96,1
2,Slanted,14,81757802124,1.5,2
2,Slanted,14,1111091192,4.01,3
2,Slanted,14,1111091191,2.62,2
2,Slanted,14,75166677365,4.84,3
2,Slanted,14,1111000220,2.54,2
2,Slanted,14,1111000876,1.72,2
2,Slanted,14,1111000219,2.7,3
2,Slanted,14,1111091068,4.29,3
2,Slanted,14,4799,5.55,4
2,Slanted,14,4801,5.65,4
2,Slanted,14,4662,1.27,3
2,Slanted,14,4608,3.66,3
2,Slanted,14,94225,2.46,3
3,Slanted,14,1111069101,8.03,4
3,Slanted,14,1111091829,10.61,5
3,Slanted,14,1111014902,15.59,5
3,Slanted,14,1111018189,13.99,5
3,Slanted,14,1111091825,19.31,5
3,Slanted,14,1111018193,1.53,2
3,Slanted,14,1111018188,10.78,5
3,Slanted,14,1111069102,4.43,3
3,Slanted,14,1111069103,4.16,3
3,Slanted,14,1111069106,2.87,3
4,Slanted,14,1111091684,5.04,3
4,Slanted,14,1111091664,6.92,4
4,Slanted,14,4663,10.45,5
4,Slanted,14,1111091754,9.13,4
4,Slanted,14,1111091871,12.44,5
4,Slanted,14,4082,10.49,5
4,Slanted,14,4072,13.67,5
4,Slanted,14,4166,23.1,5
4,Slanted,14,1111091760,25.42,5
4,Slanted,14,1111091682,22.62,5
4,Slanted,14,3221,0.78,2
4,Slanted,14,4091,0.42,1
4,Slanted,14,60633224091,0.81,2
4,Slanted,14,1111018219,0.26,1
4,Slanted,14,94166,0.75,2
4,Slanted,14,94091,0.62,2
4,Slanted,14,1111061317,0.01,1
4,Slanted,14,1111008021,1.15,2
4,Slanted,14,1111091845,8.74,4
4,Slanted,14,1111091846,7.16,4
4,Slanted,14,1111091778,1.46,2
4,Slanted,14,1111018210,1.23,2
4,Slanted,14,3338391098,3.12,3
4,Slanted,14,4816,15.08,5
4,Slanted,14,4074,2.66,3
4,Slanted,14,4093,8.11,4
4,Slanted,14,94082,0.93,2
4,Slanted,14,94816,1.71,3
5,Slanted,14,94011,16.24,5
5,Slanted,14,4011,81.22,5
5,Slanted,14,3040,0.14,1
5,Slanted,14,4395,0.32,1
5,Slanted,14,4959,1.43,3
5,Slanted,14,4312,0.18,1
5,Slanted,14,4235,0.25,1
5,Slanted,14,3127,0.06,1
5,Slanted,14,4408,0.08,1
